page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://harvard.edu/,reference,cdn.parsely.com,ablation,1,ablated,third_party,681377,661043,20034,300,2
https://harvard.edu/,reference,cdn.parsely.com,ablation,1,ablated,listed,207620,187273,20034,313,2
https://harvard.edu/,reference,_JOINT,joint,0,control,page,3135482,2930040,205198,244,4
https://harvard.edu/,reference,_JOINT,joint,0,control,third_party,680871,475429,205198,244,4
https://harvard.edu/,reference,_JOINT,joint,0,control,listed,207103,1676,205198,229,4
https://harvard.edu/,reference,_JOINT,joint,1,ablated,page,3135942,2930032,205197,713,4
https://harvard.edu/,reference,_JOINT,joint,1,ablated,third_party,681331,475421,205197,713,4
https://harvard.edu/,reference,_JOINT,joint,1,ablated,listed,207576,1676,205197,703,4
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,0,control,page,4282802,4055177,257425,-29800,2
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,0,control,third_party,1977296,1749677,257425,-29806,2
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,0,control,listed,635030,652039,257425,-274434,2
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,1,ablated,page,4287496,3877924,256864,152708,2
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,1,ablated,third_party,1981999,1572434,256864,152701,2
https://imgur.com/,social,securepubads.g.doubleclick.net,ablation,1,ablated,listed,634468,478459,256864,-100855,2
https://imgur.com/,social,quicklyedit.com,ablation,0,control,page,4282349,4174088,48422,59839,1
https://imgur.com/,social,quicklyedit.com,ablation,0,control,third_party,1977349,1869102,48422,59825,1
https://imgur.com/,social,quicklyedit.com,ablation,0,control,listed,634672,586426,48422,-176,1
https://imgur.com/,social,quicklyedit.com,ablation,1,ablated,page,4283056,4172709,48429,61918,1
https://imgur.com/,social,quicklyedit.com,ablation,1,ablated,third_party,1977598,1867246,48429,61923,1
https://imgur.com/,social,quicklyedit.com,ablation,1,ablated,listed,634576,584542,48429,1605,1
